Algorithm,Iteration,Timestamp,CPU%,Mem%
hector,0,0,13.1,48.0
hector,0,1,14.9,48.4
hector,0,3,15.8,48.5
hector,0,4,24.9,48.5
hector,0,6,14.9,48.5
hector,0,8,26.1,48.6
hector,0,9,17.8,48.6
hector,0,11,18.7,48.6
hector,0,12,21.6,48.7
hector,0,14,23.6,48.6
hector,0,16,30.1,48.7
hector,0,17,22.0,48.8
hector,0,19,17.6,48.8
hector,0,21,19.6,48.8
hector,0,22,21.4,48.9
hector,0,24,39.4,48.9
hector,0,25,22.1,49.0
hector,0,27,14.3,48.9
hector,0,29,15.5,48.9
hector,0,30,19.8,48.8
hector,0,32,19.6,48.7
hector,1,0,16.3,48.3
hector,1,1,21.4,48.6
hector,1,3,15.0,48.6
hector,1,4,18.2,48.4
hector,1,6,15.8,48.4
hector,1,8,14.8,48.5
hector,1,9,14.9,48.5
hector,1,11,14.5,48.4
hector,1,12,26.1,48.5
hector,1,14,23.3,48.6
hector,1,16,14.8,48.5
hector,1,17,26.1,48.6
hector,1,19,23.3,48.7
hector,1,21,18.2,48.6
hector,1,22,29.3,48.7
hector,1,24,26.4,48.7
hector,1,25,21.8,48.8
hector,1,27,17.9,48.8
hector,1,29,28.9,48.8
hector,1,30,53.0,49.0
hector,1,32,29.8,49.1
slam_toolbox,0,0,28.1,48.7
slam_toolbox,0,1,31.9,49.1
slam_toolbox,0,3,19.8,49.2
slam_toolbox,0,4,21.1,49.2
slam_toolbox,0,6,21.9,49.3
slam_toolbox,0,8,18.7,49.2
slam_toolbox,0,9,18.1,49.2
slam_toolbox,0,11,16.4,49.2
slam_toolbox,0,12,16.8,49.2
slam_toolbox,0,14,28.0,49.4
slam_toolbox,0,16,19.2,49.4
slam_toolbox,0,17,17.1,49.5
slam_toolbox,0,19,17.3,49.4
slam_toolbox,0,21,18.7,49.4
slam_toolbox,0,22,21.4,49.5
slam_toolbox,0,24,47.7,49.6
slam_toolbox,0,25,41.1,49.4
slam_toolbox,0,27,37.5,49.4
slam_toolbox,0,29,30.9,49.4
slam_toolbox,0,30,36.5,49.3
slam_toolbox,0,32,35.6,49.3
slam_toolbox,1,0,39.5,48.5
slam_toolbox,1,1,16.1,48.9
slam_toolbox,1,3,13.7,49.0
slam_toolbox,1,4,17.6,49.0
slam_toolbox,1,6,18.2,48.8
slam_toolbox,1,8,14.4,48.9
slam_toolbox,1,9,15.9,49.0
slam_toolbox,1,11,21.4,49.0
slam_toolbox,1,12,18.7,49.0
slam_toolbox,1,14,18.4,49.0
