Algorithm,Iteration,Timestamp,CPU%,Mem%
cartographer,0,0,15.7,48.6
cartographer,0,21,10.1,49.9
cartographer,0,42,7.0,49.2
cartographer,0,63,2.1,49.1
cartographer,0,85,1.8,49.1
cartographer,0,106,2.4,49.1
cartographer,0,128,2.7,49.2
cartographer,0,149,2.0,49.4
cartographer,0,170,2.1,49.2
cartographer,0,192,3.2,49.7
cartographer,0,213,2.2,49.2
cartographer,0,234,1.9,49.2
cartographer,0,256,2.6,49.1
cartographer,0,277,2.1,48.9
cartographer,0,298,2.5,48.9
cartographer,0,320,2.1,48.4
cartographer,0,341,2.8,48.5
cartographer,0,362,1.5,48.7
cartographer,0,384,2.0,48.6
cartographer,0,405,1.0,48.2
cartographer,0,426,1.1,48.4
